index,event,NClus,foundZ,trueZ,centrality
376,376,1602,-4.4,-4.93461
377,377,975,3.2,4.08364
379,379,4214,-12,-12.6218
380,380,2002,-5.8,-6.795
383,383,5396,-7.6,-8.00619
387,387,517,-5.6,-5.87423
390,390,31,7.6,5.96817
391,391,681,-7.4,-8.2877
392,392,36,15.4,13.3419
393,393,7062,-10,-10.6021
395,395,2136,-16,-16.6339
396,396,3699,5.8,6.08931
397,397,327,-19.6,-20.2482
400,400,683,-8.4,-0.657298
401,401,5,0,-31.917
402,402,2885,-5.6,-6.02763
405,405,2788,-5.2,-5.52895
406,406,5192,3,3.22051
407,407,2911,4.6,4.90653
409,409,0,0,11.5923
410,410,3968,1.6,2.01567
412,412,2105,-13.2,-13.9456
413,413,1069,0.4,0.0529352
414,414,3417,-0.2,-0.581253
415,415,2208,9.2,9.63078
416,416,1685,-19.8,-20.04
419,419,3695,-0.8,-0.802395
421,421,5195,-15.4,-16.9979
422,422,0,0,-5.75212
424,424,132,6.4,6.67818
425,425,1122,3.4,3.40135
428,428,0,0,4.9257
430,430,18,12.4,12.7118
431,431,20,8.2,5.28499
432,432,3673,-15.6,-16.5444
433,433,41,-8.6,-6.75972
434,434,1462,3.8,3.84251
436,436,6113,-10.8,-10.778
440,440,1137,0.6,0.492284
442,442,8,0,0.992537
445,445,174,1.2,2.22
446,446,165,1,1.49644
447,447,914,6.2,6.25893
448,448,68,-21.8,-24.6843
452,452,3044,4.2,4.99163
453,453,3862,5.2,5.25793
455,455,4785,-29.2,-30.5786
456,456,4395,2.6,2.87327
460,460,131,2.6,4.07512
461,461,352,-22.6,-24.5342
463,463,1576,-7,-7.47708
464,464,3311,1.6,1.87046
467,467,492,-6.2,-6.40375
468,468,811,-5.8,-5.90137
472,472,231,12.4,12.8529
476,476,10,-23.4,-23.2256
477,477,6372,-6,-5.42095
478,478,5580,1.2,1.13702
479,479,239,-13.6,-14.778
482,482,5189,-8.2,-8.84858
484,484,1187,1.08247e-15,-0.114891
486,486,1947,-8,-8.94165
488,488,2325,-3.6,-4.54621
489,489,1470,-3.8,-3.99484
492,492,6361,-2.8,-2.5499
494,494,105,-8,-7.86618
499,499,4656,-12.6,-13.3548
500,500,157,20.8,20.1801
502,502,238,-5.4,-6.65154
503,503,1163,-27,-29.536
504,504,494,-4.2,-4.77695
506,506,1851,15,15.8543
509,509,963,3.4,4.18872
511,511,1983,2.4,2.26175
513,513,12,0,-6.3276
514,514,718,-16.8,-17.9077
516,516,2503,-7.4,-7.66629
518,518,118,-6.2,-5.94166
519,519,1566,-12.2,-12.8909
520,520,184,-9.2,-7.76279
522,522,4933,-21.6,-22.7361
524,524,629,-14.2,-14.8578
526,526,1279,-8.2,-8.92693
527,527,245,4.6,4.92624
528,528,5727,0.6,0.969712
529,529,3039,-6.6,-7.18346
532,532,469,-0.4,0.744423
533,533,2450,-5.2,-5.66056
534,534,2851,-24.4,-26.4085
535,535,314,5.2,4.73342
536,536,89,3.2,1.86033
539,539,80,-14.4,-15.4831
540,540,2557,-10,-10.2104
541,541,18,0,-14.4124
542,542,4,0,-3.05379
543,543,3837,-19.6,-20.2646
544,544,28,4.2,4.34971
546,546,0,0,-11.438
547,547,87,4.6,4.72867
549,549,0,0,-13.2733
550,550,804,-9,-9.42428
552,552,734,8.4,9.27372
554,554,597,-19,-18.77
555,555,1,0,3.39939
558,558,176,2,1.45135
560,560,32,-3,-3.50675
561,561,2500,-9.4,-10.0997
562,562,4148,-9.4,-9.86731
563,563,3735,-16.2,-16.995
564,564,0,0,-16.4487
565,565,508,3.8,3.56509
566,566,33,-6.6,-5.84258
567,567,1477,-9.4,-10.3953
570,570,1373,5,4.82585
571,571,2563,3.8,3.91042
572,572,258,0.8,0.594545
573,573,1127,-1.4,-1.93672
574,574,4528,2.2,2.38477
576,576,4694,-4.8,-4.79868
577,577,197,-10.2,-10.8676
579,579,3868,-3.2,-3.23128
580,580,110,-1.8,-0.686325
585,585,1617,16.2,17.4458
587,587,1,0,-3.67644
588,588,3795,-12.8,-13.6176
589,589,128,1.2,1.50403
590,590,863,13,13.3258
591,591,3456,-3.6,-3.61641
592,592,5129,7,7.41553
593,593,426,-9.8,-11.0377
595,595,1073,-11.4,-12.1109
596,596,2250,-6.4,-6.87303
597,597,2390,1.2,-0.131273
600,600,453,-17.4,-18.6758
601,601,876,7.6,8.14431
603,603,86,-20,-20.967
604,604,3808,16.6,18.2379
607,607,3156,-6.4,-6.79429
608,608,4891,-13.2,-13.5954
609,609,1075,5.2,5.18186
610,610,2175,-7.8,-8.60923
611,611,3487,-15,-16.2841
613,613,64,-0.4,-1.51376
614,614,1936,-3,-3.25172
616,616,711,-9,-9.22503
618,618,441,-1.4,-0.967057
622,622,182,10.2,11.1114
624,624,1,0,-5.36866
627,627,3511,-3.4,-3.63666
628,628,1694,-6.4,-6.56873
633,633,25,-12,-9.84176
635,635,507,-3.2,-3.41255
636,636,1222,-9.4,-10.1989
639,639,3379,-21.8,-22.7677
640,640,8,1.08247e-15,-3.55143
642,642,4361,-1.4,-1.2333
